%#################################################################
Title:        Basenet Report
Design:       top
Date:         Nov 7 11:09:59 2018
%#################################################################


%
Base nets and synonyms for muctpi_lib.TOP(@muctpi_lib.top(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

A2C_DN<22..0>       	A2C_DN<22..0> - @muctpi_lib.TOP                             	 1A8 1D6                      
                    	A_HPIO65_N<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E8<>                      
                    	HPIO65D_N<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 5B8<>                        
A2C_DN<46..23>      	A2C_DN<46..23> - @muctpi_lib.TOP                            	 1A8 1D6                      
                    	A_HPIO66_N<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E6<>                      
                    	HPIO66D_N<23> - @muctpi_lib.MSP_FPGA(i43_page1)             	 5C5<>                        
A2C_DP<22..0>       	A2C_DP<22..0> - @muctpi_lib.TOP                             	 1A8 1D6                      
                    	A_HPIO65_P<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E8<>                      
                    	HPIO65D_P<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 5C8<>                        
A2C_DP<46..23>      	A2C_DP<46..23> - @muctpi_lib.TOP                            	 1A8 1D6                      
                    	A_HPIO66_P<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E6<>                      
                    	HPIO66D_P<23> - @muctpi_lib.MSP_FPGA(i43_page1)             	 5C5<>                        
A2T_DN<23..0>       	A2T_DN<23..0> - @muctpi_lib.TOP                             	 1D6 2C8                      
                    	HPIO69DP_N<23..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 58E8<>                       
                    	HPIO70D_N<23> - @muctpi_lib.MSP_FPGA(i43_page1)             	 6B5<>                        
A2T_DN<46..24>      	A2T_DN<46..24> - @muctpi_lib.TOP                            	 1C6 2C8                      
                    	HPIO70DP_N<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 58E5<>                       
                    	HPIO71D_N<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 6B3<>                        
A2T_DN<69..47>      	A2T_DN<69..47> - @muctpi_lib.TOP                            	 1C6 2C8                      
