%#################################################################
Title:        Basenet Report
Design:       lasp
Date:         Mar 26 12:09:23 2021
%#################################################################


%
Base nets and synonyms for lasp_lib.LASP(@lasp_lib.lasp(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         

ADC1_CH0            	ADC1_CH0 - @lasp_lib.LASP                                   	 46C3 46D5                    
ADC1_CH1            	ADC1_CH1 - @lasp_lib.LASP                                   	 46C3 46C5                    
ADC1_CH2            	ADC1_CH2 - @lasp_lib.LASP                                   	 46B3 46C5                    
ADC1_CH3            	ADC1_CH3 - @lasp_lib.LASP                                   	 46B3 46C5                    
ADC1_CH4            	ADC1_CH4 - @lasp_lib.LASP                                   	 46B3 46B5                    
ADC1_CH5            	ADC1_CH5 - @lasp_lib.LASP                                   	 46B3 46B5                    
ADC1_CH6            	ADC1_CH6 - @lasp_lib.LASP                                   	 46B3 46B5                    
ADC1_CH7            	ADC1_CH7 - @lasp_lib.LASP                                   	 46B5 46C3                    
ADC1_CH8            	ADC1_CH8 - @lasp_lib.LASP                                   	 46A5 46B3                    
ADC2_CH0            	ADC2_CH0 - @lasp_lib.LASP                                   	 46B2 46D4                    
ADC2_CH1            	ADC2_CH1 - @lasp_lib.LASP                                   	 46C2 46C4                    
ADC2_CH2            	ADC2_CH2 - @lasp_lib.LASP                                   	 46B2 46C4                    
ADC2_CH3            	ADC2_CH3 - @lasp_lib.LASP                                   	 46B2 46C4                    
ADC2_CH4            	ADC2_CH4 - @lasp_lib.LASP                                   	 46B2 46B4                    
ADC2_CH5            	ADC2_CH5 - @lasp_lib.LASP                                   	 46B2 46B4                    
ADC2_CH6            	ADC2_CH6 - @lasp_lib.LASP                                   	 46B2 46B4                    
ADC2_CH7            	ADC2_CH7 - @lasp_lib.LASP                                   	 46B4 46C2                    
ADC2_CH8            	ADC2_CH8 - @lasp_lib.LASP                                   	 46A4 46C2                    
AF_M48V_ENABLE_A    	AF_M48V_ENABLE_A - @lasp_lib.LASP                           	 3D5                          
AF_M48V_VRTN_A      	AF_M48V_VRTN_A - @lasp_lib.LASP                             	 3D5                          
