Device/Package xcvu9p-1flgc2104,,,,,
,,,,,
Pin,Pin Name,Memory Byte Group,Bank,I/O Type,Super Logic Region
AE19,DXN,NA,NA,NA,1
AE20,DXP,NA,NA,NA,1
AD20,VREFP,NA,NA,NA,1
AC19,VREFN,NA,NA,NA,1
AC20,VP,NA,NA,NA,1
AD19,VN,NA,NA,NA,1
Y14,M0_0,NA,0,CONFIG,1
V14,M1_0,NA,0,CONFIG,1
P14,INIT_B_0,NA,0,CONFIG,1
T14,M2_0,NA,0,CONFIG,1
M14,RSVDGND,NA,NA,NA,1
K14,PUDC_B_0,NA,0,CONFIG,1
AB14,POR_OVERRIDE,NA,NA,NA,1
AC14,DONE_0,NA,0,CONFIG,1
AE14,PROGRAM_B_0,NA,0,CONFIG,1
AD15,TDO_0,NA,0,CONFIG,1
AF15,TDI_0,NA,0,CONFIG,1
AF14,RDWR_FCS_B_0,NA,0,CONFIG,1
AF16,D02_0,NA,0,CONFIG,1
AM14,D00_MOSI_0,NA,0,CONFIG,1
AH14,D03_0,NA,0,CONFIG,1
AK14,D01_DIN_0,NA,0,CONFIG,1
AB15,TMS_0,NA,0,CONFIG,1
AB16,CCLK_0,NA,0,CONFIG,1
AD16,TCK_0,NA,0,CONFIG,1
AN13,VBATT,NA,NA,NA,1
BF31,IO_L24N_T3U_N11_68,3U,68,HP,1
BF30,IO_L24P_T3U_N10_68,3U,68,HP,1
BD31,IO_L23N_T3U_N9_68,3U,68,HP,1
BC31,IO_L23P_T3U_N8_68,3U,68,HP,1
BF29,IO_L22N_T3U_N7_DBC_AD0N_68,3U,68,HP,1
BE29,IO_L22P_T3U_N6_DBC_AD0P_68,3U,68,HP,1
BB31,IO_L21N_T3L_N5_AD8N_68,3L,68,HP,1
BA31,IO_L21P_T3L_N4_AD8P_68,3L,68,HP,1
BE30,IO_L20N_T3L_N3_AD1N_68,3L,68,HP,1
BD30,IO_L20P_T3L_N2_AD1P_68,3L,68,HP,1
BC30,IO_L19N_T3L_N1_DBC_AD9N_68,3L,68,HP,1
BC29,IO_L19P_T3L_N0_DBC_AD9P_68,3L,68,HP,1
BA30,IO_T3U_N12_68,3U,68,HP,1
BA35,IO_T2U_N12_68,2U,68,HP,1
BB36,IO_L18N_T2U_N11_AD2N_68,2U,68,HP,1
BA36,IO_L18P_T2U_N10_AD2P_68,2U,68,HP,1
BB33,IO_L17N_T2U_N9_AD10N_68,2U,68,HP,1
BB32,IO_L17P_T2U_N8_AD10P_68,2U,68,HP,1
BB34,IO_L16N_T2U_N7_QBC_AD3N_68,2U,68,HP,1
BA34,IO_L16P_T2U_N6_QBC_AD3P_68,2U,68,HP,1
BA32,IO_L15N_T2L_N5_AD11N_68,2L,68,HP,1
AY32,IO_L15P_T2L_N4_AD11P_68,2L,68,HP,1
AY33,IO_L14N_T2L_N3_GC_68,2L,68,HP,1
AW33,IO_L14P_T2L_N2_GC_68,2L,68,HP,1
AY35,IO_L13N_T2L_N1_GC_QBC_68,2L,68,HP,1
AY34,IO_L13P_T2L_N0_GC_QBC_68,2L,68,HP,1
AU34,IO_L12N_T1U_N11_GC_68,1U,68,HP,1
AU33,IO_L12P_T1U_N10_GC_68,1U,68,HP,1
AV34,IO_L11N_T1U_N9_GC_68,1U,68,HP,1
AV33,IO_L11P_T1U_N8_GC_68,1U,68,HP,1
AW36,IO_L10N_T1U_N7_QBC_AD4N_68,1U,68,HP,1
AV36,IO_L10P_T1U_N6_QBC_AD4P_68,1U,68,HP,1
AW35,IO_L9N_T1L_N5_AD12N_68,1L,68,HP,1
AV35,IO_L9P_T1L_N4_AD12P_68,1L,68,HP,1
AU32,IO_L8N_T1L_N3_AD5N_68,1L,68,HP,1
AU31,IO_L8P_T1L_N2_AD5P_68,1L,68,HP,1
AW31,IO_L7N_T1L_N1_QBC_AD13N_68,1L,68,HP,1
AV31,IO_L7P_T1L_N0_QBC_AD13P_68,1L,68,HP,1
AW32,IO_T1U_N12_68,1U,68,HP,1
AU36,IO_T0U_N12_VRP_68,0U,68,HP,1
AT36,IO_L6N_T0U_N11_AD6N_68,0U,68,HP,1
AR36,IO_L6P_T0U_N10_AD6P_68,0U,68,HP,1
AR33,IO_L5N_T0U_N9_AD14N_68,0U,68,HP,1
AP33,IO_L5P_T0U_N8_AD14P_68,0U,68,HP,1
AT35,IO_L4N_T0U_N7_DBC_AD7N_68,0U,68,HP,1
AR35,IO_L4P_T0U_N6_DBC_AD7P_68,0U,68,HP,1
AT32,IO_L3N_T0L_N5_AD15N_68,0L,68,HP,1
AR32,IO_L3P_T0L_N4_AD15P_68,0L,68,HP,1
AT34,IO_L2N_T0L_N3_68,0L,68,HP,1
AR34,IO_L2P_T0L_N2_68,0L,68,HP,1
AP32,IO_L1N_T0L_N1_DBC_68,0L,68,HP,1
AN32,IO_L1P_T0L_N0_DBC_68,0L,68,HP,1
AM32,VREF_68,NA,68,HP,1
BD28,IO_L24N_T3U_N11_67,3U,67,HP,1
BC28,IO_L24P_T3U_N10_67,3U,67,HP,1
BF25,IO_L23N_T3U_N9_67,3U,67,HP,1
BE25,IO_L23P_T3U_N8_67,3U,67,HP,1
BE28,IO_L22N_T3U_N7_DBC_AD0N_67,3U,67,HP,1
BE27,IO_L22P_T3U_N6_DBC_AD0P_67,3U,67,HP,1
BD26,IO_L21N_T3L_N5_AD8N_67,3L,67,HP,1
BC26,IO_L21P_T3L_N4_AD8P_67,3L,67,HP,1
BF27,IO_L20N_T3L_N3_AD1N_67,3L,67,HP,1
BF26,IO_L20P_T3L_N2_AD1P_67,3L,67,HP,1
BD25,IO_L19N_T3L_N1_DBC_AD9N_67,3L,67,HP,1
BC25,IO_L19P_T3L_N0_DBC_AD9P_67,3L,67,HP,1
BD27,IO_T3U_N12_67,3U,67,HP,1
BB28,IO_T2U_N12_67,2U,67,HP,1
BB29,IO_L18N_T2U_N11_AD2N_67,2U,67,HP,1
BA29,IO_L18P_T2U_N10_AD2P_67,2U,67,HP,1
BB26,IO_L17N_T2U_N9_AD10N_67,2U,67,HP,1
BA26,IO_L17P_T2U_N8_AD10P_67,2U,67,HP,1
BB27,IO_L16N_T2U_N7_QBC_AD3N_67,2U,67,HP,1
BA27,IO_L16P_T2U_N6_QBC_AD3P_67,2U,67,HP,1
AY30,IO_L15N_T2L_N5_AD11N_67,2L,67,HP,1
AY29,IO_L15P_T2L_N4_AD11P_67,2L,67,HP,1
AW28,IO_L14N_T2L_N3_GC_67,2L,67,HP,1
AW27,IO_L14P_T2L_N2_GC_67,2L,67,HP,1
AY28,IO_L13N_T2L_N1_GC_QBC_67,2L,67,HP,1
AY27,IO_L13P_T2L_N0_GC_QBC_67,2L,67,HP,1
AV30,IO_L12N_T1U_N11_GC_67,1U,67,HP,1
AV29,IO_L12P_T1U_N10_GC_67,1U,67,HP,1
AV28,IO_L11N_T1U_N9_GC_67,1U,67,HP,1
AU28,IO_L11P_T1U_N8_GC_67,1U,67,HP,1
AT31,IO_L10N_T1U_N7_QBC_AD4N_67,1U,67,HP,1
AT30,IO_L10P_T1U_N6_QBC_AD4P_67,1U,67,HP,1
AU29,IO_L9N_T1L_N5_AD12N_67,1L,67,HP,1
AT29,IO_L9P_T1L_N4_AD12P_67,1L,67,HP,1
AU27,IO_L8N_T1L_N3_AD5N_67,1L,67,HP,1
AT27,IO_L8P_T1L_N2_AD5P_67,1L,67,HP,1
AW26,IO_L7N_T1L_N1_QBC_AD13N_67,1L,67,HP,1
AV26,IO_L7P_T1L_N0_QBC_AD13P_67,1L,67,HP,1
AW30,IO_T1U_N12_67,1U,67,HP,1
AP31,IO_T0U_N12_VRP_67,0U,67,HP,1
AP30,IO_L6N_T0U_N11_AD6N_67,0U,67,HP,1
AN30,IO_L6P_T0U_N10_AD6P_67,0U,67,HP,1
AR28,IO_L5N_T0U_N9_AD14N_67,0U,67,HP,1
AR27,IO_L5P_T0U_N8_AD14P_67,0U,67,HP,1
AR30,IO_L4N_T0U_N7_DBC_AD7N_67,0U,67,HP,1
AR29,IO_L4P_T0U_N6_DBC_AD7P_67,0U,67,HP,1
AN29,IO_L3N_T0L_N5_AD15N_67,0L,67,HP,1
AM29,IO_L3P_T0L_N4_AD15P_67,0L,67,HP,1
AN31,IO_L2N_T0L_N3_67,0L,67,HP,1
AM31,IO_L2P_T0L_N2_67,0L,67,HP,1
AP28,IO_L1N_T0L_N1_DBC_67,0L,67,HP,1
AN28,IO_L1P_T0L_N0_DBC_67,0L,67,HP,1
AM28,VREF_67,NA,67,HP,1
BF24,IO_L24N_T3U_N11_66,3U,66,HP,1
BE24,IO_L24P_T3U_N10_66,3U,66,HP,1
BE23,IO_L23N_T3U_N9_66,3U,66,HP,1
BD23,IO_L23P_T3U_N8_66,3U,66,HP,1
BF22,IO_L22N_T3U_N7_DBC_AD0N_66,3U,66,HP,1
BF21,IO_L22P_T3U_N6_DBC_AD0P_66,3U,66,HP,1
BC24,IO_L21N_T3L_N5_AD8N_66,3L,66,HP,1
BB24,IO_L21P_T3L_N4_AD8P_66,3L,66,HP,1
BE22,IO_L20N_T3L_N3_AD1N_66,3L,66,HP,1
BD22,IO_L20P_T3L_N2_AD1P_66,3L,66,HP,1
BC23,IO_L19N_T3L_N1_DBC_AD9N_66,3L,66,HP,1
BB23,IO_L19P_T3L_N0_DBC_AD9P_66,3L,66,HP,1
BD21,IO_T3U_N12_66,3U,66,HP,1
AW25,IO_T2U_N12_66,2U,66,HP,1
BA25,IO_L18N_T2U_N11_AD2N_66,2U,66,HP,1
AY25,IO_L18P_T2U_N10_AD2P_66,2U,66,HP,1
BB22,IO_L17N_T2U_N9_AD10N_66,2U,66,HP,1
BA22,IO_L17P_T2U_N8_AD10P_66,2U,66,HP,1
BA24,IO_L16N_T2U_N7_QBC_AD3N_66,2U,66,HP,1
AY24,IO_L16P_T2U_N6_QBC_AD3P_66,2U,66,HP,1
AY23,IO_L15N_T2L_N5_AD11N_66,2L,66,HP,1
AY22,IO_L15P_T2L_N4_AD11P_66,2L,66,HP,1
AW23,IO_L14N_T2L_N3_GC_66,2L,66,HP,1
AW22,IO_L14P_T2L_N2_GC_66,2L,66,HP,1
AV24,IO_L13N_T2L_N1_GC_QBC_66,2L,66,HP,1
AV23,IO_L13P_T2L_N0_GC_QBC_66,2L,66,HP,1
AT25,IO_L12N_T1U_N11_GC_66,1U,66,HP,1
AT24,IO_L12P_T1U_N10_GC_66,1U,66,HP,1
AU24,IO_L11N_T1U_N9_GC_66,1U,66,HP,1
AU23,IO_L11P_T1U_N8_GC_66,1U,66,HP,1
