Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      

L43  | REFCLK_GXBL1N_CHTp                   | REFCLK_GXBL1N_CHTP                   | GND_POWER                            | GND_POWER                           
L42  | REFCLK_GXBL1N_CHTn                   | REFCLK_GXBL1N_CHTN                   | GND_POWER                            | GND_POWER                           
D49  | GXBL1N_TX_CH5n                       | GXBL1N_TX_CH5N                       | NC                                   | NC                                  
D48  | GXBL1N_TX_CH5p                       | GXBL1N_TX_CH5P                       | NC                                   | NC                                  
A46  | GXBL1N_RX_CH5n/GXBL1N_REFCLK5n       | GXBL1N_RX_CH5N/GXBL1N_REFCLK5N       | FEB_MX_R_N                           | FEB_MX_R_N<43>                      
A47  | GXBL1N_RX_CH5p/GXBL1N_REFCLK5p       | GXBL1N_RX_CH5P/GXBL1N_REFCLK5P       | FEB_MX_R_P                           | FEB_MX_R_P<43>                      
B50  | GXBL1N_TX_CH4n                       | GXBL1N_TX_CH4N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<19>                 
C50  | GXBL1N_TX_CH4p                       | GXBL1N_TX_CH4P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<19>                 
A44  | GXBL1N_RX_CH4n/GXBL1N_REFCLK4n       | GXBL1N_RX_CH4N/GXBL1N_REFCLK4N       | FEB_MX_R_N                           | FEB_MX_R_N<42>                      
B44  | GXBL1N_RX_CH4p/GXBL1N_REFCLK4p       | GXBL1N_RX_CH4P/GXBL1N_REFCLK4P       | FEB_MX_R_P                           | FEB_MX_R_P<42>                      
D51  | GXBL1N_TX_CH3n                       | GXBL1N_TX_CH3N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<18>                 
E51  | GXBL1N_TX_CH3p                       | GXBL1N_TX_CH3P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<18>                 
D44  | GXBL1N_RX_CH3n/GXBL1N_REFCLK3n       | GXBL1N_RX_CH3N/GXBL1N_REFCLK3N       | FEB_MX_R_N                           | FEB_MX_R_N<41>                      
D45  | GXBL1N_RX_CH3p/GXBL1N_REFCLK3p       | GXBL1N_RX_CH3P/GXBL1N_REFCLK3P       | FEB_MX_R_P                           | FEB_MX_R_P<41>                      
B48  | GXBL1N_TX_CH2n                       | GXBL1N_TX_CH2N                       | NC                                   | NC                                  
A48  | GXBL1N_TX_CH2p                       | GXBL1N_TX_CH2P                       | NC                                   | NC                                  
C46  | GXBL1N_RX_CH2n/GXBL1N_REFCLK2n       | GXBL1N_RX_CH2N/GXBL1N_REFCLK2N       | FEB_MX_R_N                           | FEB_MX_R_N<40>                      
C47  | GXBL1N_RX_CH2p/GXBL1N_REFCLK2p       | GXBL1N_RX_CH2P/GXBL1N_REFCLK2P       | FEB_MX_R_P                           | FEB_MX_R_P<40>                      
G50  | GXBL1N_TX_CH1n                       | GXBL1N_TX_CH1N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<17>                 
G51  | GXBL1N_TX_CH1p                       | GXBL1N_TX_CH1P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<17>                 
F44  | GXBL1N_RX_CH1n/GXBL1N_REFCLK1n       | GXBL1N_RX_CH1N/GXBL1N_REFCLK1N       | FEB_MX_R_N                           | FEB_MX_R_N<39>                      
F45  | GXBL1N_RX_CH1p/GXBL1N_REFCLK1p       | GXBL1N_RX_CH1P/GXBL1N_REFCLK1P       | FEB_MX_R_P                           | FEB_MX_R_P<39>                      
J50  | GXBL1N_TX_CH0n                       | GXBL1N_TX_CH0N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<16>                 
J51  | GXBL1N_TX_CH0p                       | GXBL1N_TX_CH0P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<16>                 
H44  | GXBL1N_RX_CH0n/GXBL1N_REFCLK0n       | GXBL1N_RX_CH0N/GXBL1N_REFCLK0N       | FEB_MX_R_N                           | FEB_MX_R_N<38>                      
H45  | GXBL1N_RX_CH0p/GXBL1N_REFCLK0p       | GXBL1N_RX_CH0P/GXBL1N_REFCLK0P       | FEB_MX_R_P                           | FEB_MX_R_P<38>                      
N43  | REFCLK_GXBL1N_CHBp                   | REFCLK_GXBL1N_CHBP                   | MX_REFCLK_641_OUT0_P                 | MX_REFCLK_641_OUT0_P                
N42  | REFCLK_GXBL1N_CHBn                   | REFCLK_GXBL1N_CHBN                   | MX_REFCLK_641_OUT0_N                 | MX_REFCLK_641_OUT0_N                
R43  | REFCLK_GXBL1M_CHTp                   | REFCLK_GXBL1M_CHTP                   | GND_POWER                            | GND_POWER                           
R42  | REFCLK_GXBL1M_CHTn                   | REFCLK_GXBL1M_CHTN                   | GND_POWER                            | GND_POWER                           
F48  | GXBL1M_TX_CH5n                       | GXBL1M_TX_CH5N                       | NC                                   | NC                                  
F49  | GXBL1M_TX_CH5p                       | GXBL1M_TX_CH5P                       | NC                                   | NC                                  
E46  | GXBL1M_RX_CH5n/GXBL1M_REFCLK5n       | GXBL1M_RX_CH5N/GXBL1M_REFCLK5N       | FEB_MX_R_N                           | FEB_MX_R_N<37>                      
E47  | GXBL1M_RX_CH5p/GXBL1M_REFCLK5p       | GXBL1M_RX_CH5P/GXBL1M_REFCLK5P       | FEB_MX_R_P                           | FEB_MX_R_P<37>                      
H48  | GXBL1M_TX_CH4n                       | GXBL1M_TX_CH4N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<15>                 
H49  | GXBL1M_TX_CH4p                       | GXBL1M_TX_CH4P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<15>                 
G46  | GXBL1M_RX_CH4n/GXBL1M_REFCLK4n       | GXBL1M_RX_CH4N/GXBL1M_REFCLK4N       | FEB_MX_R_N                           | FEB_MX_R_N<36>                      
G47  | GXBL1M_RX_CH4p/GXBL1M_REFCLK4p       | GXBL1M_RX_CH4P/GXBL1M_REFCLK4P       | FEB_MX_R_P                           | FEB_MX_R_P<36>                      
K48  | GXBL1M_TX_CH3n                       | GXBL1M_TX_CH3N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<14>                 
K49  | GXBL1M_TX_CH3p                       | GXBL1M_TX_CH3P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<14>                 
K44  | GXBL1M_RX_CH3n/GXBL1M_REFCLK3n       | GXBL1M_RX_CH3N/GXBL1M_REFCLK3N       | FEB_MX_R_N                           | FEB_MX_R_N<35>                      
K45  | GXBL1M_RX_CH3p/GXBL1M_REFCLK3p       | GXBL1M_RX_CH3P/GXBL1M_REFCLK3P       | FEB_MX_R_P                           | FEB_MX_R_P<35>                      
L50  | GXBL1M_TX_CH2n                       | GXBL1M_TX_CH2N                       | NC                                   | NC                                  
L51  | GXBL1M_TX_CH2p                       | GXBL1M_TX_CH2P                       | NC                                   | NC                                  
J46  | GXBL1M_RX_CH2n/GXBL1M_REFCLK2n       | GXBL1M_RX_CH2N/GXBL1M_REFCLK2N       | FEB_MX_R_N                           | FEB_MX_R_N<34>                      
J47  | GXBL1M_RX_CH2p/GXBL1M_REFCLK2p       | GXBL1M_RX_CH2P/GXBL1M_REFCLK2P       | FEB_MX_R_P                           | FEB_MX_R_P<34>                      
M48  | GXBL1M_TX_CH1n                       | GXBL1M_TX_CH1N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<13>                 
M49  | GXBL1M_TX_CH1p                       | GXBL1M_TX_CH1P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<13>                 
M44  | GXBL1M_RX_CH1n/GXBL1M_REFCLK1n       | GXBL1M_RX_CH1N/GXBL1M_REFCLK1N       | FEB_MX_R_N                           | FEB_MX_R_N<33>                      
M45  | GXBL1M_RX_CH1p/GXBL1M_REFCLK1p       | GXBL1M_RX_CH1P/GXBL1M_REFCLK1P       | FEB_MX_R_P                           | FEB_MX_R_P<33>                      
N50  | GXBL1M_TX_CH0n                       | GXBL1M_TX_CH0N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<12>                 
N51  | GXBL1M_TX_CH0p                       | GXBL1M_TX_CH0P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<12>                 
L46  | GXBL1M_RX_CH0n/GXBL1M_REFCLK0n       | GXBL1M_RX_CH0N/GXBL1M_REFCLK0N       | FEB_MX_R_N                           | FEB_MX_R_N<32>                      
L47  | GXBL1M_RX_CH0p/GXBL1M_REFCLK0p       | GXBL1M_RX_CH0P/GXBL1M_REFCLK0P       | FEB_MX_R_P                           | FEB_MX_R_P<32>                      
U43  | REFCLK_GXBL1M_CHBp                   | REFCLK_GXBL1M_CHBP                   | GND_POWER                            | GND_POWER                           
U42  | REFCLK_GXBL1M_CHBn                   | REFCLK_GXBL1M_CHBN                   | GND_POWER                            | GND_POWER                           
W43  | REFCLK_GXBL1L_CHTp                   | REFCLK_GXBL1L_CHTP                   | MX_REFCLK_641_OUT1_P                 | MX_REFCLK_641_OUT1_P                
W42  | REFCLK_GXBL1L_CHTn                   | REFCLK_GXBL1L_CHTN                   | MX_REFCLK_641_OUT1_N                 | MX_REFCLK_641_OUT1_N                
P48  | GXBL1L_TX_CH5n                       | GXBL1L_TX_CH5N                       | NC                                   | NC                                  
P49  | GXBL1L_TX_CH5p                       | GXBL1L_TX_CH5P                       | NC                                   | NC                                  
P44  | GXBL1L_RX_CH5n/GXBL1L_REFCLK5n       | GXBL1L_RX_CH5N/GXBL1L_REFCLK5N       | FEB_MX_R_N                           | FEB_MX_R_N<31>                      
P45  | GXBL1L_RX_CH5p/GXBL1L_REFCLK5p       | GXBL1L_RX_CH5P/GXBL1L_REFCLK5P       | FEB_MX_R_P                           | FEB_MX_R_P<31>                      
R50  | GXBL1L_TX_CH4n                       | GXBL1L_TX_CH4N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<11>                 
R51  | GXBL1L_TX_CH4p                       | GXBL1L_TX_CH4P                       | RTM_FEX_25_MX_P                      | RTM_FEX_25_MX_P<11>                 
N46  | GXBL1L_RX_CH4n/GXBL1L_REFCLK4n       | GXBL1L_RX_CH4N/GXBL1L_REFCLK4N       | FEB_MX_R_N                           | FEB_MX_R_N<30>                      
N47  | GXBL1L_RX_CH4p/GXBL1L_REFCLK4p       | GXBL1L_RX_CH4P/GXBL1L_REFCLK4P       | FEB_MX_R_P                           | FEB_MX_R_P<30>                      
T48  | GXBL1L_TX_CH3n                       | GXBL1L_TX_CH3N                       | RTM_FEX_25_MX_N                      | RTM_FEX_25_MX_N<10>                 
