Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      

P41  | REFCLK_GXBL1N_CHTp                   | REFCLK_GXBL1N_CHTP                   | SX_REFCLK_641_OUT5_P                 | SX_REFCLK_641_OUT5_P                
P40  | REFCLK_GXBL1N_CHTn                   | REFCLK_GXBL1N_CHTN                   | SX_REFCLK_641_OUT5_N                 | SX_REFCLK_641_OUT5_N                
B44  | GXBL1N_TX_CH5n                       | GXBL1N_TX_CH5N                       | NC                                   | NC                                  
B45  | GXBL1N_TX_CH5p                       | GXBL1N_TX_CH5P                       | NC                                   | NC                                  
B40  | GXBL1N_RX_CH5n/GXBL1N_REFCLK5n       | GXBL1N_RX_CH5N/GXBL1N_REFCLK5N       | FEB_SX_R_N                           | FEB_SX_R_N<43>                      
B41  | GXBL1N_RX_CH5p/GXBL1N_REFCLK5p       | GXBL1N_RX_CH5P/GXBL1N_REFCLK5P       | FEB_SX_R_P                           | FEB_SX_R_P<43>                      
C46  | GXBL1N_TX_CH4n                       | GXBL1N_TX_CH4N                       | GLOBAL_EV_SX_N                       | GLOBAL_EV_SX_N<3>                   
C47  | GXBL1N_TX_CH4p                       | GXBL1N_TX_CH4P                       | GLOBAL_EV_SX_P                       | GLOBAL_EV_SX_P<3>                   
A42  | GXBL1N_RX_CH4n/GXBL1N_REFCLK4n       | GXBL1N_RX_CH4N/GXBL1N_REFCLK4N       | FEB_SX_R_N                           | FEB_SX_R_N<42>                      
A43  | GXBL1N_RX_CH4p/GXBL1N_REFCLK4p       | GXBL1N_RX_CH4P/GXBL1N_REFCLK4P       | FEB_SX_R_P                           | FEB_SX_R_P<42>                      
E46  | GXBL1N_TX_CH3n                       | GXBL1N_TX_CH3N                       | GLOBAL_EV_SX_N                       | GLOBAL_EV_SX_N<2>                   
E47  | GXBL1N_TX_CH3p                       | GXBL1N_TX_CH3P                       | GLOBAL_EV_SX_P                       | GLOBAL_EV_SX_P<2>                   
C42  | GXBL1N_RX_CH3n/GXBL1N_REFCLK3n       | GXBL1N_RX_CH3N/GXBL1N_REFCLK3N       | FEB_SX_R_N                           | FEB_SX_R_N<41>                      
C43  | GXBL1N_RX_CH3p/GXBL1N_REFCLK3p       | GXBL1N_RX_CH3P/GXBL1N_REFCLK3P       | FEB_SX_R_P                           | FEB_SX_R_P<41>                      
D48  | GXBL1N_TX_CH2n                       | GXBL1N_TX_CH2N                       | NC                                   | NC                                  
D49  | GXBL1N_TX_CH2p                       | GXBL1N_TX_CH2P                       | NC                                   | NC                                  
E42  | GXBL1N_RX_CH2n/GXBL1N_REFCLK2n       | GXBL1N_RX_CH2N/GXBL1N_REFCLK2N       | FEB_SX_R_N                           | FEB_SX_R_N<40>                      
E43  | GXBL1N_RX_CH2p/GXBL1N_REFCLK2p       | GXBL1N_RX_CH2P/GXBL1N_REFCLK2P       | FEB_SX_R_P                           | FEB_SX_R_P<40>                      
G46  | GXBL1N_TX_CH1n                       | GXBL1N_TX_CH1N                       | GLOBAL_EV_SX_N                       | GLOBAL_EV_SX_N<1>                   
G47  | GXBL1N_TX_CH1p                       | GXBL1N_TX_CH1P                       | GLOBAL_EV_SX_P                       | GLOBAL_EV_SX_P<1>                   
D44  | GXBL1N_RX_CH1n/GXBL1N_REFCLK1n       | GXBL1N_RX_CH1N/GXBL1N_REFCLK1N       | FEB_SX_R_N                           | FEB_SX_R_N<39>                      
D45  | GXBL1N_RX_CH1p/GXBL1N_REFCLK1p       | GXBL1N_RX_CH1P/GXBL1N_REFCLK1P       | FEB_SX_R_P                           | FEB_SX_R_P<39>                      
F48  | GXBL1N_TX_CH0n                       | GXBL1N_TX_CH0N                       | GLOBAL_EV_SX_N                       | GLOBAL_EV_SX_N<0>                   
F49  | GXBL1N_TX_CH0p                       | GXBL1N_TX_CH0P                       | GLOBAL_EV_SX_P                       | GLOBAL_EV_SX_P<0>                   
G42  | GXBL1N_RX_CH0n/GXBL1N_REFCLK0n       | GXBL1N_RX_CH0N/GXBL1N_REFCLK0N       | FEB_SX_R_N                           | FEB_SX_R_N<38>                      
G43  | GXBL1N_RX_CH0p/GXBL1N_REFCLK0p       | GXBL1N_RX_CH0P/GXBL1N_REFCLK0P       | FEB_SX_R_P                           | FEB_SX_R_P<38>                      
T41  | REFCLK_GXBL1N_CHBp                   | REFCLK_GXBL1N_CHBP                   | GND_POWER                            | GND_POWER                           
T40  | REFCLK_GXBL1N_CHBn                   | REFCLK_GXBL1N_CHBN                   | GND_POWER                            | GND_POWER                           
V41  | REFCLK_GXBL1M_CHTp                   | REFCLK_GXBL1M_CHTP                   | GND_POWER                            | GND_POWER                           
V40  | REFCLK_GXBL1M_CHTn                   | REFCLK_GXBL1M_CHTN                   | GND_POWER                            | GND_POWER                           
J46  | GXBL1M_TX_CH5n                       | GXBL1M_TX_CH5N                       | NC                                   | NC                                  
J47  | GXBL1M_TX_CH5p                       | GXBL1M_TX_CH5P                       | NC                                   | NC                                  
F44  | GXBL1M_RX_CH5n/GXBL1M_REFCLK5n       | GXBL1M_RX_CH5N/GXBL1M_REFCLK5N       | FEB_SX_R_N                           | FEB_SX_R_N<37>                      
F45  | GXBL1M_RX_CH5p/GXBL1M_REFCLK5p       | GXBL1M_RX_CH5P/GXBL1M_REFCLK5P       | FEB_SX_R_P                           | FEB_SX_R_P<37>                      
H48  | GXBL1M_TX_CH4n                       | GXBL1M_TX_CH4N                       | NC                                   | NC                                  
H49  | GXBL1M_TX_CH4p                       | GXBL1M_TX_CH4P                       | NC                                   | NC                                  
