IBERT instance name  | Dir | A part               | A inst | A pin name      | A pin  | A net                | Coupling cap | B part                           | B inst | B pin name      | B pin  | B net                | IO#
Quad_124/MGT_X*Y0    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP0_124    | BC45   | PON_RX_P             | C570         | NB7HQ14MMNG-VCC=P2V5,VCCO=P2V5   | IC29   | Q3              | 7      | NB7_Q3_P             | N/S
Quad_124/MGT_X*Y0    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP0_124    | BF42   | PON_TX_P             | No           | CON20P_SFP-1888247-1             | J3     | TD+             | 18     | -                    | N/S
Quad_124/MGT_X*Y1    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP1_124    | BD42   | -                    | -            | -                                | -      | -               | -      | -                    | -  
Quad_124/MGT_X*Y1    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP1_124    | BA45   | -                    | -            | -                                | -      | -               | -      | -                    | -  
Quad_124/MGT_X*Y2    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP2_124    | BB42   | -                    | -            | -                                | -      | -               | -      | -                    | -  
Quad_124/MGT_X*Y2    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP2_124    | AW45   | -                    | -            | -                                | -      | -               | -      | -                    | -  
Quad_124/MGT_X*Y3    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP3_124    | AV43   | GBE_Z2T_P            | C1442        | XCZU3EG-1SFVC784E                | IC84   | PS_MGTRTXP0_505 | E25    | GBETRP_TX_C_P        | N/S
Quad_124/MGT_X*Y3    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP3_124    | AW40   | Z_TX_C_P             | C705         | XCZU3EG-1SFVC784E                | IC84   | PS_MGTRRXP0_505 | F27    | GBE_T2Z_P            | N/S
Quad_125/MGT_X*Y4    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP0_125    | AU45   | C2T_GT_N<0>          | No           | XCVU160-H1FLGC2104               | IC15   | MGTHTXN0_227    | AC6    | -                    | 00 
Quad_125/MGT_X*Y4    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP0_125    | AU40   | -                    | -            | -                                | -      | -               | -      | -                    | -  
Quad_125/MGT_X*Y5    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP1_125    | AT43   | C2T_GT_N<1>          | No           | XCVU160-H1FLGC2104               | IC15   | MGTHTXN1_227    | AB8    | -                    | 01 
Quad_125/MGT_X*Y5    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP1_125    | AT38   | -                    | -            | -                                | -      | -               | -      | -                    | -  
Quad_125/MGT_X*Y6    | I   | XCKU095-1FFVB2104C   | IC39   | MGTYRXP2_125    | AR45   | C2T_GT_N<2>          | No           | XCVU160-H1FLGC2104               | IC15   | MGTHTXN2_227    | AA6    | -                    | 02 
Quad_125/MGT_X*Y6    | O   | XCKU095-1FFVB2104C   | IC39   | MGTYTXP2_125    | AR40   | -                    | -            | -                                | -      | -               | -      | -                    | -  
