Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      

G7   | GND                                  | GND                                  | GND                                  | GND                                 
G6   | MGTAVTT_RN                           | MGTAVTT_RN                           | P1V2B                                | P1V2B                               
G5   | GND                                  | GND                                  | GND                                  | GND                                 
G2   | GND                                  | GND                                  | GND                                  | GND                                 
G1   | GND                                  | GND                                  | GND                                  | GND                                 
K44  | MGTYRXN3_131                         | MGTYRXN3_131                         | C2T_GT_N                             | C2T_GT_N<19>                        
K45  | GND                                  | GND                                  | GND                                  | GND                                 
K46  | GND                                  | GND                                  | GND                                  | GND                                 
K40  | GND                                  | GND                                  | GND                                  | GND                                 
K41  | MGTAVTT_LN                           | MGTAVTT_LN                           | P1V2B                                | P1V2B                               
K42  | GND                                  | GND                                  | GND                                  | GND                                 
K43  | MGTYRXP3_131                         | MGTYRXP3_131                         | C2T_GT_P                             | C2T_GT_P<19>                        
Y19  | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
Y18  | GND                                  | GND                                  | GND                                  | GND                                 
Y15  | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
Y14  | GND                                  | GND                                  | GND                                  | GND                                 
Y17  | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
Y16  | GND                                  | GND                                  | GND                                  | GND                                 
Y11  | MGTREFCLK0P_229                      | MGTREFCLK0P_229                      | NC                                   | NC                                  
Y10  | MGTREFCLK0N_229                      | MGTREFCLK0N_229                      | NC                                   | NC                                  
Y13  | VCCBRAM                              | VCCBRAM                              | P0V95B                               | P0V95B                              
Y12  | INIT_B_0                             | INIT_B_0                             | TRP_CFG                              | TRP_CFG<3>                          
B29  | IO_L23P_T3U_N8_51                    | IO_L23P_T3U_N8_51                    | C2T_DP                               | C2T_DP<21>                          
B28  | GND                                  | GND                                  | GND                                  | GND                                 
B27  | IO_L19N_T3L_N1_DBC_AD9N_51           | IO_L19N_T3L_N1_DBC_AD9N_51           | C2T_DN                               | C2T_DN<8>                           
B26  | IO_L21N_T3L_N5_AD8N_71               | IO_L21N_T3L_N5_AD8N_71               | A2T_DN                               | A2T_DN<47>                          
B25  | IO_L24P_T3U_N10_71                   | IO_L24P_T3U_N10_71                   | NC                                   | NC                                  
B24  | IO_L23P_T3U_N8_71                    | IO_L23P_T3U_N8_71                    | A2T_DP                               | A2T_DP<69>                          
B23  | VCCO_71                              | VCCO_71                              | P1V8                                 | P1V8                                
B22  | IO_L19N_T3L_N1_DBC_AD9N_71           | IO_L19N_T3L_N1_DBC_AD9N_71           | A2T_DN                               | A2T_DN<57>                          
B21  | IO_L21N_T3L_N5_AD8N_70               | IO_L21N_T3L_N5_AD8N_70               | A2T_DN                               | A2T_DN<46>                          
B20  | IO_L24P_T3U_N10_70                   | IO_L24P_T3U_N10_70                   | NC                                   | NC                                  
AG9  | MGTHTXP2_227                         | MGTHTXP2_227                         | NC                                   | NC                                  
AG8  | MGTHTXN2_227                         | MGTHTXN2_227                         | NC                                   | NC                                  
AG7  | GND                                  | GND                                  | GND                                  | GND                                 
AG6  | MGTAVTT_RS                           | MGTAVTT_RS                           | P1V2B                                | P1V2B                               
AG5  | GND                                  | GND                                  | GND                                  | GND                                 
AG4  | MGTHRXP2_227                         | MGTHRXP2_227                         | A2T_GT_P                             | A2T_GT_P<17>                        
AG3  | MGTHRXN2_227                         | MGTHRXN2_227                         | A2T_GT_N                             | A2T_GT_N<17>                        
AG2  | GND                                  | GND                                  | GND                                  | GND                                 
AG1  | GND                                  | GND                                  | GND                                  | GND                                 
AN42 | GND                                  | GND                                  | GND                                  | GND                                 
AT46 | GND                                  | GND                                  | GND                                  | GND                                 
AT45 | GND                                  | GND                                  | GND                                  | GND                                 
AT44 | MGTYRXN1_125                         | MGTYRXN1_125                         | C2T_GT_P                             | C2T_GT_P<1>                         
AT43 | MGTYRXP1_125                         | MGTYRXP1_125                         | C2T_GT_N                             | C2T_GT_N<1>                         
AT42 | GND                                  | GND                                  | GND                                  | GND                                 
AT41 | GND                                  | GND                                  | GND                                  | GND                                 
AT40 | MGTAVTT_LS                           | MGTAVTT_LS                           | P1V2B                                | P1V2B                               
H18  | IO_L13N_T2L_N1_GC_QBC_70             | IO_L13N_T2L_N1_GC_QBC_70             | A2T_DN                               | A2T_DN<41>                          
H19  | IO_L13P_T2L_N0_GC_QBC_70             | IO_L13P_T2L_N0_GC_QBC_70             | A2T_DP                               | A2T_DP<41>                          
H12  | GND                                  | GND                                  | GND                                  | GND                                 
H13  | IO_L9N_T1L_N5_AD12N_69               | IO_L9N_T1L_N5_AD12N_69               | A2T_DN                               | A2T_DN<12>                          
H14  | IO_L11N_T1U_N9_GC_69                 | IO_L11N_T1U_N9_GC_69                 | A2T_DN                               | A2T_DN<22>                          
H15  | VCCO_69                              | VCCO_69                              | P1V8                                 | P1V8                                
H16  | IO_L10N_T1U_N7_QBC_AD4N_69           | IO_L10N_T1U_N7_QBC_AD4N_69           | A2T_DN                               | A2T_DN<8>                           
H17  | IO_L10P_T1U_N6_QBC_AD4P_69           | IO_L10P_T1U_N6_QBC_AD4P_69           | A2T_DP                               | A2T_DP<8>                           
BE8  | IO_L2P_T0L_N2_68                     | IO_L2P_T0L_N2_68                     | VHDCI_DATA_OUT_P                     | VHDCI_DATA_OUT_P<24>                
BE9  | GND                                  | GND                                  | GND                                  | GND                                 
BE2  | GND                                  | GND                                  | GND                                  | GND                                 
BE3  | GND                                  | GND                                  | GND                                  | GND                                 
BE6  | GND                                  | GND                                  | GND                                  | GND                                 
BE7  | IO_L1P_T0L_N0_DBC_68                 | IO_L1P_T0L_N0_DBC_68                 | NC                                   | NC                                  
BE4  | MGTAVTT_RS                           | MGTAVTT_RS                           | P1V2B                                | P1V2B                               
BE5  | GND                                  | GND                                  | GND                                  | GND                                 
E24  | VCCO_71                              | VCCO_71                              | P1V8                                 | P1V8                                
E25  | IO_L18P_T2U_N10_AD2P_71              | IO_L18P_T2U_N10_AD2P_71              | A2T_DP                               | A2T_DP<50>                          
E26  | IO_T2U_N12_51                        | IO_T2U_N12_51                        | NC                                   | NC                                  
E27  | IO_L17N_T2U_N9_AD10N_51              | IO_L17N_T2U_N9_AD10N_51              | C2T_DN                               | C2T_DN<13>                          
E20  | IO_L17N_T2U_N9_AD10N_70              | IO_L17N_T2U_N9_AD10N_70              | A2T_DN                               | A2T_DN<44>                          
E21  | IO_L17P_T2U_N8_AD10P_70              | IO_L17P_T2U_N8_AD10P_70              | A2T_DP                               | A2T_DP<44>                          
E22  | IO_L16N_T2U_N7_QBC_AD3N_71           | IO_L16N_T2U_N7_QBC_AD3N_71           | A2T_DN                               | A2T_DN<64>                          
E23  | IO_L16P_T2U_N6_QBC_AD3P_71           | IO_L16P_T2U_N6_QBC_AD3P_71           | A2T_DP                               | A2T_DP<64>                          
AJ12 | D01_DIN_0                            | D01_DIN_0                            | TRP_CFG                              | TRP_CFG<2>                          
AJ13 | GND                                  | GND                                  | GND                                  | GND                                 
AJ10 | GND                                  | GND                                  | GND                                  | GND                                 
AJ11 | MGTAVCC_RS                           | MGTAVCC_RS                           | P1V0B                                | P1V0B                               
E28  | IO_L18P_T2U_N10_AD2P_51              | IO_L18P_T2U_N10_AD2P_51              | C2T_DP                               | C2T_DP<2>                           
E29  | GND                                  | GND                                  | GND                                  | GND                                 
AJ14 | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
AJ15 | GND                                  | GND                                  | GND                                  | GND                                 
