IBERT instance name,Dir,A part,A inst,A pin name,A pin,A net,Coupling cap,B part,B inst,B pin name,B pin,B net,IO#
Quad_120/MGT_X0Y4,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_120,BF38,-,-,-,-,-,-,-,-
Quad_120/MGT_X0Y4,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_120,BF33,SLRX4_P<5>_C,C259,AFBR-821FH1Z,RX10,D5+,J4,MP_RXD_P<5>_13,05
Quad_120/MGT_X0Y5,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_120,BE36,-,-,-,-,-,-,-,-
Quad_120/MGT_X0Y5,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_120,BD33,SLRX4_P<3>_C,C261,AFBR-821FH1Z,RX10,D3+,J2,MP_RXD_P<3>_13,03
Quad_120/MGT_X0Y6,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_120,BE40,-,-,-,-,-,-,-,-
Quad_120/MGT_X0Y6,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_120,BF43,SLRX4_N<6>_C,C271,AFBR-821FH1Z,RX10,D6-,B6,MP_RXD_N<6>_13,06
Quad_120/MGT_X0Y7,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_120,BD38,-,-,-,-,-,-,-,-
Quad_120/MGT_X0Y7,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_120,BD43,SLRX4_N<4>_C,C269,AFBR-821FH1Z,RX10,D4-,B4,MP_RXD_N<4>_13,04
Quad_121/MGT_X0Y8,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_121,BC40,-,-,-,-,-,-,-,-
Quad_121/MGT_X0Y8,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_121,BC45,SLRX4_N<10>_C,C275,AFBR-821FH1Z,RX10,D10-,D8,MP_RXD_N<10>_12,10
Quad_121/MGT_X0Y9,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_121,BB38,-,-,-,-,-,-,-,-
Quad_121/MGT_X0Y9,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_121,BB43,SLRX4_P<2>_C,C267,AFBR-821FH1Z,RX10,D2+,A2,MP_RXD_P<2>_13,02
Quad_121/MGT_X0Y10,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_121,BA40,-,-,-,-,-,-,-,-
Quad_121/MGT_X0Y10,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_121,BA45,SLRX4_P<11>_C,C277,AFBR-821FH1Z,RX10,D11+,F9,MP_RXD_P<11>_12,11
Quad_121/MGT_X0Y11,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_121,AY38,-,-,-,-,-,-,-,-
Quad_121/MGT_X0Y11,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_121,AY43,SLRX4_P<0>_C,C265,AFBR-821FH1Z,RX10,D0+,D1,MP_RXD_P<0>_13,00
Quad_122/MGT_X0Y12,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_122,AW40,-,-,-,-,-,-,-,-
Quad_122/MGT_X0Y12,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_122,AW45,SLRX4_P<9>_C,C279,AFBR-821FH1Z,RX10,D9+,J8,MP_RXD_P<9>_12,09
Quad_122/MGT_X0Y13,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_122,AV38,-,-,-,-,-,-,-,-
Quad_122/MGT_X0Y13,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_122,AV43,SLRX4_P<1>_C,C263,AFBR-821FH1Z,RX10,D1+,F1,MP_RXD_P<1>_13,01
Quad_122/MGT_X0Y14,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_122,AU40,-,-,-,-,-,-,-,-
Quad_122/MGT_X0Y14,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_122,AU45,SLRX4_P<7>_C,C281,AFBR-821FH1Z,RX10,D7+,J6,MP_RXD_P<7>_13,07
Quad_122/MGT_X0Y15,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_122,AT38,-,-,-,-,-,-,-,-
Quad_122/MGT_X0Y15,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_122,AT43,SLRX4_N<8>_C,C273,AFBR-821FH1Z,RX10,D8-,B8,MP_RXD_N<8>_12,08
Quad_124/MGT_X0Y20,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_124,AR40,-,-,-,-,-,-,-,-
Quad_124/MGT_X0Y20,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_124,AR45,SLRX5_P<5>_C,C283,AFBR-821FH1Z,RX11,D5+,J4,MP_RXD_P<5>_14,05
Quad_124/MGT_X0Y21,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_124,AP38,-,-,-,-,-,-,-,-
Quad_124/MGT_X0Y21,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_124,AP43,SLRX5_P<3>_C,C285,AFBR-821FH1Z,RX11,D3+,J2,MP_RXD_P<3>_14,03
Quad_124/MGT_X0Y22,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_124,AN40,-,-,-,-,-,-,-,-
Quad_124/MGT_X0Y22,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_124,AN45,SLRX5_P<1>_C,C287,AFBR-821FH1Z,RX11,D1+,F1,MP_RXD_P<1>_14,01
Quad_124/MGT_X0Y23,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_124,AM38,-,-,-,-,-,-,-,-
Quad_124/MGT_X0Y23,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_124,AM43,SLRX5_P<0>_C,C289,AFBR-821FH1Z,RX11,D0+,D1,MP_RXD_P<0>_14,00
Quad_125/MGT_X0Y24,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_125,AL40,-,-,-,-,-,-,-,-
