Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      

AE19 | DXN                                  | DXN                                  | TEMP_DXN_C                           | TEMP_DXN_C                          
AE20 | DXP                                  | DXP                                  | TEMP_DXP_C                           | TEMP_DXP_C                          
AD20 | VREFP                                | VREFP                                | GND_ADC_C                            | GND_ADC_C                           
AC19 | VREFN                                | VREFN                                | GND_ADC_C                            | GND_ADC_C                           
AC20 | VP                                   | VP                                   | SYSMON_VP_C                          | SYSMON_VP_C                         
AD19 | VN                                   | VN                                   | SYSMON_VN_C                          | SYSMON_VN_C                         
Y14  | M0_0                                 | M0_0                                 | UNNAMED_1_RSMD0402_I6_A_C            | UNNAMED_1_RSMD0402_I6_A_C           
V14  | M1_0                                 | M1_0                                 | UNNAMED_1_RSMD0402_I7_A_C            | UNNAMED_1_RSMD0402_I7_A_C           
P14  | INIT_B_0                             | INIT_B_0                             | MPC_CFG                              | MPC_CFG<3>                          
T14  | M2_0                                 | M2_0                                 | UNNAMED_1_RSMD0402_I8_A_C            | UNNAMED_1_RSMD0402_I8_A_C           
M14  | RSVDGND                              | CFGBVS_0                             | GND                                  | GND                                 
K14  | PUDC_B_0                             | PUDC_B_0                             | PUDC*_C                              | PUDC*_C                             
AB14 | POR_OVERRIDE                         | POR_OVERRIDE                         | POR_OVERRIDE_C                       | POR_OVERRIDE_C                      
AC14 | DONE_0                               | DONE_0                               | MPC_CFG                              | MPC_CFG<4>                          
AE14 | PROGRAM_B_0                          | PROGRAM_B_0                          | MPC_CFG                              | MPC_CFG<0>                          
AD15 | TDO_0                                | TDO_0                                | UNNAMED_1_RSMD0402_I92_A_C           | UNNAMED_1_RSMD0402_I92_A_C          
AF15 | TDI_0                                | TDI_0                                | MPC_TDI                              | MPC_TDI                             
AF14 | RDWR_FCS_B_0                         | RDWR_FCS_B_0                         | NC                                   | NC                                  
AF16 | D02_0                                | D02_0                                | NC                                   | NC                                  
AM14 | D00_MOSI_0                           | D00_MOSI_0                           | NC                                   | NC                                  
AH14 | D03_0                                | D03_0                                | NC                                   | NC                                  
AK14 | D01_DIN_0                            | D01_DIN_0                            | MPC_CFG                              | MPC_CFG<2>                          
AB15 | TMS_0                                | TMS_0                                | MPC_TMS                              | MPC_TMS                             
AB16 | CCLK_0                               | CCLK_0                               | MPC_CFG                              | MPC_CFG<1>                          
AD16 | TCK_0                                | TCK_0                                | MPC_TCK                              | MPC_TCK                             
AN13 | VBATT                                | VBATT                                | GND                                  | GND                                 
BF31 | IO_L24N_T3U_N11_68                   | IO_L24N_T3U_N11_68                   | A2C_DN                               | A2C_DN<21>                          
BF30 | IO_L24P_T3U_N10_68                   | IO_L24P_T3U_N10_68                   | A2C_DP                               | A2C_DP<21>                          
BD31 | IO_L23N_T3U_N9_68                    | IO_L23N_T3U_N9_68                    | A2C_DN                               | A2C_DN<20>                          
BC31 | IO_L23P_T3U_N8_68                    | IO_L23P_T3U_N8_68                    | A2C_DP                               | A2C_DP<20>                          
BF29 | IO_L22N_T3U_N7_DBC_AD0N_68           | IO_L22N_T3U_N7_DBC_AD0N_68           | A2C_DN                               | A2C_DN<9>                           
