Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      

G26  | PS_DDR_DQ60                          | PS_DDR_DQ60                          | DDR4_DQ                              | DDR4_DQ<60>                         
G27  | GND                                  | GND                                  | GND                                  | GND                                 
G24  | GND                                  | GND                                  | GND                                  | GND                                 
G25  | PS_DDR_DQ61                          | PS_DDR_DQ61                          | DDR4_DQ                              | DDR4_DQ<61>                         
G22  | GND                                  | GND                                  | GND                                  | GND                                 
G23  | GND                                  | GND                                  | GND                                  | GND                                 
G20  | PS_MIO72                             | PS_MIO72                             | NC                                   | NC                                  
G21  | PS_MIO73                             | PS_MIO73                             | NC                                   | NC                                  
G28  | GND                                  | GND                                  | GND                                  | GND                                 
AH2  | IO_L23P_T3U_N8_64                    | IO_L23P_T3U_N8_64                    | Z2A_AXI_D                            | Z2A_AXI_D<19>                       
AH3  | IO_L20N_T3L_N3_AD1N_64               | IO_L20N_T3L_N3_AD1N_64               | Z2A_AXI_D                            | Z2A_AXI_D<12>                       
AH1  | IO_L23N_T3U_N9_64                    | IO_L23N_T3U_N9_64                    | Z2A_AXI_D                            | Z2A_AXI_D<11>                       
AH6  | IO_T1U_N12_64                        | IO_T1U_N12_64                        | Z2A_AXI_CLK                          | Z2A_AXI_CLK                         
AH7  | IO_L9N_T1L_N5_AD12N_64               | IO_L9N_T1L_N5_AD12N_64               | A2Z_AXI_D                            | A2Z_AXI_D<10>                       
AH4  | IO_L19N_T3L_N1_DBC_AD9N_64           | IO_L19N_T3L_N1_DBC_AD9N_64           | Z2A_AXI_D                            | Z2A_AXI_D<14>                       
AH5  | GND                                  | GND                                  | GND                                  | GND                                 
AH8  | IO_L9P_T1L_N4_AD12P_64               | IO_L9P_T1L_N4_AD12P_64               | A2Z_AXI_D                            | A2Z_AXI_D<11>                       
AH9  | IO_L7N_T1L_N1_QBC_AD13N_64           | IO_L7N_T1L_N1_QBC_AD13N_64           | A2Z_AXI_D                            | A2Z_AXI_D<4>                        
G7   | GND                                  | GND                                  | GND                                  | GND                                 
G6   | IO_L15P_T2L_N4_AD11P_66              | IO_L15P_T2L_N4_AD11P_66              | C2Z_AXI_D                            | C2Z_AXI_D<11>                       
G5   | IO_L6P_T0U_N10_AD6P_66               | IO_L6P_T0U_N10_AD6P_66               | Z2C_AXI_D                            | Z2C_AXI_D<12>                       
G4   | IO_T0U_N12_VRP_66                    | IO_T0U_N12_VRP_66                    | NC                                   | NC                                  
G3   | IO_L4P_T0U_N6_DBC_AD7P_66            | IO_L4P_T0U_N6_DBC_AD7P_66            | Z2C_AXI_D                            | Z2C_AXI_D<20>                       
G2   | GND                                  | GND                                  | GND                                  | GND                                 
G1   | IO_L1P_T0L_N0_DBC_66                 | IO_L1P_T0L_N0_DBC_66                 | Z2C_AXI_D                            | Z2C_AXI_D<19>                       
